F184,CC(O)CNC1CCCCC1
F185,CC(O)COC=1C=CC=C(F)C1
F186,CC(OC=1C=CC(=CC1)C=2C=CC=CC2)C(=O)O
F187,CC(OC=1C=CC(C#N)=CC1)C(=O)N
F188,CC(OC=1C=CC(Cl)=CC1)C(=O)N
F189,CC(OC=1C=CC=CC1)C(=O)N
F190,CC(OC=1C=CC=CC1C#N)C(=O)N
F191,CC(OC=1C=CC=CC1F)C(=O)O
F192,CC1(C)CCCN1CCN
F193,CC1(C)CCN1C(=O)NC2=NN=CS2
F194,CC1(C)CN(C(=O)NCC2CC2)C1(C)C
F195,CC1(C)CN(CC1O)C=2N=CC=CC2F
F196,CC1(C)CN(CCO1)C(=O)CC(F)(F)F
F197,CC1(CC1)S(=O)(=O)N2CCC=C(F)C2
F198,CC1(CCS(=O)(=O)C1)NC(=O)C2CC2
F199,CC1=CC(=NO1)C(=O)NC=2C=NN(C)C2
F200,CC1=CC(=NO1)C(=O)NCC2=CC=CS2
F201,CC1=CC(=NO1)C2CCCN2S(=O)(=O)C
F202,CC1=CC(=NS1)C(=O)NCC2CCCO2
F203,CC1=CC(NC(=O)COC=2C=CC(C)=CC2)=NO1
F204,CC1=CC(NC(=O)CSC=2C=CC=CC2)=NO1
F205,CC1=CC=C(N)C(=O)N1C
F206,CC1=CN=C(NC(=O)CCC2CCCC2)S1
F207,CC1=CSC(CNC(=O)C2CCC2)=N1
F208,CC1=CSC(CNC(=O)C=2C=CNN2)=N1
F209,CC1=CSC(NC(=O)C2CCOCC2)=N1
F210,CC1=CSC(NC(=O)NC=2C=CC=C(C)C2)=N1
F211,CC1=NC(=NO1)C=2C=CC=CC2
F212,CC1=NC(C(=O)N2CCCC2)=C(C)S1
F213,CC1=NC(CC(=O)N2CCOCC2)=CS1
F214,CC1=NC(CN2C=CC(C)=CC2=O)=CS1
F215,CC1=NC(CN2CCC=C(F)C2)=NO1
F216,CC1=NC(CN2C[C@@H](F)C[C@H]2CN)=CS1
F217,CC1=NC=2C=CC=CC2N1CCC(=O)N
F218,CC1=NC=C(CNC=2C=NC=C(F)C2)S1
F219,CC1=NC=CN1CC=2C=CC=C(C#N)C2
F220,CC1=NN(C(=O)C1)C=2C=CC=CC2
F221,CC1=NN(C)C(C)=C1CC(=O)N
F222,CC1=NN(C)C(C)=C1NC(=O)CC#N
F223,CC1=NN(C)C=2C(O)=NN=CC12
F224,CC1=NN(CC=2C(C)=NOC2C)C(=O)S1
F225,CC1=NN=C(CN2CCC=C(F)C2)S1
F226,CC1=NN=C(S1)N2CCCCC2
F227,CC1=NNC(C)=C1C=2C=CC=CC2N
F228,CC1=NNC(C)=C1CNC2CCCCC2
F229,CC1=NNC=C1CNC=2C=CC=CC2F
F230,CC1=NOC(C)=C1C(=O)NCCC2=CCCCC2
F231,CC1=NOC(CN2CCC(CO)CC2)=N1
F232,CC1=NOC(CN2CCC=C(F)C2)=N1
F233,CC1=NOC(CN2CCCCC2CO)=N1
F234,CC1=NOC(NC(=O)CC2CCCC2)=N1
F235,CC1=NSC(=N1)N2CCCNCC2
F236,CC1=NSC(NC2CCCC2(C)CO)=N1
F237,CC1=NSC(NC2CCCC2CO)=N1
F238,CC1C(O)CCCN1CC=2C=CC=CC2
F239,CC1CC(C)(C)CC1NCC=2C=CNN2
F240,CC1CC(CCO1)NC=2N=CC=CC2F
F241,CC1CC(CO1)NC=2N=CC=CC2F
F242,CC1CCC(C)(C)N1C(=O)COC(F)F
F243,CC1CCC=2C=CC=CC2N1C(=O)C
F244,CC1CCCC1NCCO
F245,CC1CCCCN1C(=O)C=2SC=NC2C
F246,CC1CCCCN1CC2=NC(C)=NO2
F247,CC1CCCCN1CCN
F248,CC1CCCN(C1)C(=O)CO
F249,CC1CCCN(CC1)C(=O)C2=CSC=N2
F250,CC1CCN(CC1)C(=O)C2=CC=3C=CC=CC3O2
F251,CC1CCN(CC1)C(=O)CCCC=2C=CC=CC2
F252,CC1CCN(CCN)CC1
F253,CC1CCNC(C1)C(=O)N
F254,CC1CCOC1C(=O)NC2=CN=NS2
F255,CC1CN(C(=O)C)C=2C=CC=C(F)C2O1
F256,CC1CN(C(C)CO1)C(=O)C=2C=NSN2
F257,CC1CN(C)CCC1NC=2C=NN(C)C2
F258,CC1CN(CC(=O)N1)C=2N=CC=CC2F
F259,CC1CN(CC(C)O1)C2=NC(C)=NS2
F260,CC1CN(CC=2N=NSC2Cl)C(C)CO1
F261,CC1CN(CCN1)C=2C=CC=C(C)N2
F262,CC1CN(CCO1)C(=O)C2=CC(C)=NO2
F263,CC1CN(CCO1)C(=O)C=2C=NC=CN2
F264,CC1CN(CCO1)C(=O)CN2C=CC=N2
F265,CC1CNCCN1CCO
F266,CC1COCCN1CC=2C=CC=CC2F
F267,CC1COCCN1CCN
F268,CC1OCCN(C1C)C2=NC(C)=NS2
F269,CC=1C(Cl)=CC=CC1NC(=O)[C@@H]2CCCO2
F270,CC=1C=C(C(=O)NC2=CN=NS2)N(C)N1
F271,CC=1C=C(C)C(NC(=O)CO)=C(C)C1
F272,CC=1C=C(C)N=C(NC(=O)NC=2C=CC=CC2)C1
F273,CC=1C=C(C)N=C(NC=2C=CC=CC2)N1
F274,CC=1C=C(CN2N=C(C)C=CC2=O)ON1
F275,CC=1C=C(F)C=C(C1)S(=O)(=O)N
F276,CC=1C=C(F)C=CC1CS(=O)(=O)N
F277,CC=1C=C(N=C(C)N1)N2CCNCC2
F278,CC=1C=C(N=C(CO)N1)N2CCCCC2
F279,CC=1C=C(NC(=O)C2CCCO2)N(C)N1
F280,CC=1C=C(ON1)C(=O)NC=2C=CN(C)N2
F281,CC=1C=C(ON1)C(=O)NCC2CCOC2
F282,CC=1C=C2N=CN(CC(=O)N)C2=CC1C
F283,CC=1C=CC(=CC1)N2CCN(CC2)C(=O)N
F284,CC=1C=CC(C(=O)N)=C(F)C1
F285,CC=1C=CC(C)=C(OC(=O)C=2C=CN=CC2)C1
F286,CC=1C=CC(CC(=O)NC[C@@H]2CCCO2)=CC1
F287,CC=1C=CC(CNC(=O)C2CCC2)=CN1
F288,CC=1C=CC(CNC(=O)CC2=CC=CS2)=CC1
F289,CC=1C=CC(CS(=O)(=O)N)=CC1F
F290,CC=1C=CC(NC(=O)C2=CC=CO2)=CC1O
F291,CC=1C=CC(NC(=O)C2CCCO2)=NC1
F292,CC=1C=CC(NC(=O)C=2C=CC=C(F)C2)=CC1O
F293,CC=1C=CC(NC(=O)C=2C=CC=CC2C)=C(O)C1
F294,CC=1C=CC(NC=2N=CN=C3NN=CC23)=CC1
F295,CC=1C=CC(OCC(=O)N2CCOCC2)=C(C)C1
F296,CC=1C=CC=C(C1)C(=O)N2CCC(CC2)C(=O)N
F297,CC=1C=CC=C(C1)C(=O)NC=2C=CC(C)=CC2O
F298,CC=1C=CC=C(C1)C(=O)NCC(=O)O
F299,CC=1C=CC=C(CN2CCOCC2)C1
